method,metric,mean,std,ci_95
fixed,test_mse,0.0603850024441878,0.02066743926581386,0.023387409182212632
fixed,test_mae,0.17278562982877096,0.03571830416188474,0.04041906614480773
linear,test_mse,0.05066180850068728,0.0014931242798689717,0.0016896291816351973
linear,test_mae,0.15583382546901703,0.002676104398167005,0.003028297205536073
step,test_mse,0.05407767121990522,0.005563036609992674,0.006295168541210387
step,test_mae,0.1628413995107015,0.012087230352286907,0.013677988767393727
